strata,model_name,year,variable,pred,pred_lci,pred_uci
Minor,Model 20,1998,biomass_pred,15316.15910507231,5131.642509218753,45713.3811076023
Minor,Model 20,1999,biomass_pred,15379.020291441475,5232.504653305995,45200.96603738985
Minor,Model 20,2000,biomass_pred,15442.139475179578,11847.074650400127,20128.147969663176
Minor,Model 20,2001,biomass_pred,18951.973117126865,7425.968843631023,48367.73390725338
Minor,Model 20,2002,biomass_pred,30911.115813366087,25317.610593015328,37740.41303451185
Minor,Model 20,2003,biomass_pred,17493.99916098916,5216.193870372762,58671.133445202846
Minor,Model 20,2004,biomass_pred,37557.85206938917,27884.330351750737,50587.27372226657
Minor,Model 20,2005,biomass_pred,27665.80932687182,10513.125159321049,72803.94688654674
Minor,Model 20,2006,biomass_pred,31791.332733124425,23395.691372670728,43199.78498813877
Minor,Model 20,2007,biomass_pred,17046.29161664617,6675.617253820092,43527.96855054274
Minor,Model 20,2008,biomass_pred,13588.9078825469,11597.96648274995,15921.620200833831
Minor,Model 20,2009,biomass_pred,22450.682008670727,8840.118837511527,57016.555084720516
Minor,Model 20,2010,biomass_pred,49819.70065410282,40472.27920504655,61325.98959128864
Minor,Model 20,2011,biomass_pred,38891.019689170054,15176.713129542757,99660.01199028935
Minor,Model 20,2012,biomass_pred,42711.05823077994,35251.35002829276,51749.35126538255
Minor,Model 20,2013,biomass_pred,36818.36623848727,14559.866446803895,93104.70651802937
Minor,Model 20,2014,biomass_pred,31738.667891269084,24320.290840510632,41419.85990703411
Minor,Model 20,2015,biomass_pred,27644.24548650088,10639.435496389302,71827.524005129
Minor,Model 20,2016,biomass_pred,35973.367431676306,29569.243190267465,43764.500702551944
Minor,Model 20,2017,biomass_pred,23555.168263044037,9198.97170369195,60316.08420728515
Minor,Model 20,2018,biomass_pred,20552.279872577856,15156.73876980655,27868.541800180406
Minor,Model 20,2019,biomass_pred,8283.520314835661,1971.1282625535416,34810.879692529015
Minor,Model 20,2020,biomass_pred,9374.9863040672,2100.1278922450983,41850.00757620057
Minor,Model 20,2021,biomass_pred,10610.267719635707,2871.0283840158454,39211.65729642681
Minor,Model 20,2022,biomass_pred,18588.210051626746,11604.973576780252,29773.575151841145
Minor,Model 20,2023,biomass_pred,18588.210051626746,4703.211499441951,73465.02553933514
Minor,Model 20,2024,biomass_pred,18588.210051626746,2820.6236211735463,122498.28382974408
